session_id,session_duration,pages_visited,avg_time_per_page,mouse_distance_avg,mouse_avg_speed,mouse_max_speed,mouse_idle_time,mouse_sharp_turns,mouse_straight_movements,avg_scroll_depth,avg_scroll_speed,total_scrolls,total_clicks,avg_time_between_clicks,avg_typing_speed,avg_shortcut_use,label
7a252935-4f9f-4143-b979-5ae158d89c2e,32.0,1.0,31.0,1571.08349609375,918.1724853515624,2522.124267578125,0.0,97.0,11.0,1708.0,64.10785675048828,1708.0,0.0,,0.0,0.0,1
7a8f3456-2945-4abc-be2e-345c5312327e,15.0,1.0,15.0,5365.46728515625,1440.3359375,4636.5302734375,0.0,211.0,27.0,3626.0,1579.361572265625,143.0,0.0,,0.0,0.0,1
7a9d1099-d658-4245-8b0b-ded2ec466af6,10.0,1.0,9.0,4200.6904296875,1058.33251953125,2788.7021484375,0.0,222.0,31.0,262.0,63.845401763916016,262.0,0.0,,0.0,0.0,1
7b70a20b-9734-442c-a75e-1eb62eb94395,15.0,1.0,14.0,3968.052734375,1134.2850341796875,8845.9033203125,0.0,226.0,20.0,9631.0,1779.751953125,343.0,0.0,,0.0,0.0,1
7b92daaf-7125-4b5a-9646-7f45d50cc19e,11.0,1.0,11.0,2396.556396484375,810.6153564453125,2961.41845703125,0.0,169.0,32.0,2462.0,1264.67822265625,202.0,0.0,,0.0,0.0,1
7ba082e9-9fd6-445d-b56e-c51a0f8715a6,3.0,1.0,3.0,83.77350616455078,2617.922119140625,2617.922119140625,0.0,0.0,0.0,258.0,133.40281677246094,127.0,0.0,,0.0,0.0,1
7bf8c7f1-8a2e-44bc-b96b-b3ea2ab09a46,19.0,1.0,19.0,310.63165283203125,578.1293334960938,1414.213623046875,0.0,10.0,2.0,12288.0,11353.376953125,64.0,0.0,,0.0,0.0,1
7c2a41f7-e08e-462b-bed4-f6e5c14f07f1,20.0,1.0,20.0,3582.51171875,1329.6435546875,5153.8818359375,0.0,157.0,11.0,4080.0,768.8670043945312,340.0,0.0,,0.0,0.0,1
7c93c503-736d-4fd2-8bda-f1d6239fc232,4.0,1.0,4.0,244.3404693603516,502.49127197265625,2539.18310546875,0.0,26.0,1.0,687.0,226.30880737304688,194.0,0.0,,0.0,0.0,1
7c9d2a08-5418-4313-878a-1ea87d28eb5d,11.0,1.0,11.0,1086.89697265625,403.98095703125,3046.309326171875,0.0,127.0,23.0,4738.0,3640.986083984375,80.0,0.0,,0.0,0.0,1
7cb976e1-54ca-4e17-871f-572342d6d8ae,6.0,1.0,5.0,1180.1531982421875,794.6155395507812,1851.1182861328125,0.0,85.0,13.0,187.0,65.05770874023438,187.0,0.0,,0.0,0.0,1
7cf17727-4654-47e0-885c-a26688e15d9e,10.0,1.0,9.0,4875.2958984375,939.3419189453124,7017.83447265625,0.0,316.0,42.0,206.0,71.4534683227539,185.0,0.0,,0.0,0.0,1
7d38a755-c1ee-4156-8528-a4d6c9e9bc24,9.0,1.0,9.0,1059.8812255859375,1049.1182861328125,1802.775634765625,0.0,60.0,9.0,160.0,139.9468536376953,73.0,0.0,,13.0,1.0,1
7d5624a3-4383-4668-a030-c5c1c1075909,17.0,1.0,16.0,3303.59765625,1317.479736328125,9124.1435546875,0.0,130.0,16.0,3434.0,788.1512451171875,278.0,0.0,,0.0,0.0,1
7dd2ce1f-6ae3-415d-9cb5-4db89f901f66,5.0,1.0,4.0,1863.2218017578125,1370.359619140625,2759.942626953125,0.0,74.0,7.0,0.0,0.0,0.0,0.0,,0.0,0.0,1
7ec29c6e-1e22-450b-a331-6f9cabdebef7,15.0,1.0,15.0,2961.465087890625,1325.92919921875,7433.0341796875,0.0,136.0,14.0,1788.0,806.2755737304688,144.0,0.0,,0.0,0.0,1
7ed439aa-f792-47dc-94af-32f0cb012d26,18.0,1.0,17.0,90.63021850585938,144.9287872314453,640.3124389648438,0.0,6.0,1.0,2195.0,817.1599731445312,171.0,0.0,,0.0,0.0,1
7ef25012-09a4-4ec6-a9ac-5c561a41c13b,7.0,1.0,7.0,1781.404541015625,824.1542358398438,4539.45458984375,0.0,116.0,17.0,290.0,63.96635818481445,289.0,0.0,,16.0,1.0,1
7f1f82b9-26e1-49a8-8422-570ed2553136,19.0,1.0,18.0,3628.924072265625,911.483642578125,3008.32177734375,0.0,250.0,23.0,12548.0,3621.894775390625,215.0,0.0,,0.0,0.0,1
7f4f6139-cdfb-464d-9882-3e8285c2ef2f,11.0,1.0,10.0,658.93310546875,1323.00830078125,2118.9619140625,0.0,28.0,0.0,259.0,65.48223114013672,249.0,0.0,,0.0,0.0,1
7f52beac-360c-4e6b-b598-238ac6e24c9e,9.0,1.0,8.0,4685.4052734375,1275.3065185546875,8602.3251953125,0.0,226.0,27.0,193.0,64.90872192382812,193.0,0.0,,0.0,0.0,1
7f8e4aef-d638-4390-92e2-6caa03c68be0,10.0,1.0,9.0,2865.7041015625,1325.948486328125,3016.259765625,0.0,117.0,19.0,1751.0,778.8245849609375,144.0,0.0,,0.0,0.0,1
7ff3d2ae-01ea-4c8c-b58e-fcf25f74f265,13.0,1.0,12.0,2281.54052734375,1488.6795654296875,3939.543212890625,0.0,83.0,11.0,1650.0,930.6423950195312,110.0,0.0,,0.0,0.0,1
